,Unnamed: 0,recording_id,type_id,timestamp,player_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,flags,speed,vehicle,recording_id.1,session_id,timestamp.1
362766,362766,3495649,7,1510692778285,1736,103942.1796875,54506.69140625,-4765.05908203125,-0.9997661709785458,-0.0207066778093576,0.0062317564152181105,1.0,0.0,,3495649,37577755,1510692777845
470827,470827,3495653,7,1510692778285,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.6660706996917719,-0.745888590812683,0.0,0.0,0.0,,3495653,37577755,1510692777845
502968,502968,3495630,7,1510692778384,1737,103942.2265625,54806.6875,-4604.8056640625,-1.0,1.9073486328125e-06,0.0,1.0,,,3495630,37577755,1510692778384
831774,831774,3495651,7,1510692778472,1732,-95615.765625,-2045.4052734375,3411.40112304688,0.164723873138428,-0.986339688301086,0.0,0.0,0.0,,3495651,37577755,1510692778244
362767,362767,3495649,7,1510692778513,1736,103942.1796875,54506.69140625,-4763.59716796875,-0.9999594688415531,-0.00220480910502374,0.00872440449893475,0.0,0.0,,3495649,37577755,1510692777845
15478,15478,3495652,7,1510692778513,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
470828,470828,3495653,7,1510692778513,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.6660706996917719,-0.745888590812683,0.0,0.0,0.0,,3495653,37577755,1510692777845
131260,131260,3495641,7,1510692778513,1721,104301.984375,54656.69140625,-4763.5986328125,-1.0,0.0,0.0,0.0,0.0,,3495641,37577755,1510692777845
502969,502969,3495630,7,1510692778604,1737,103942.1796875,54806.69140625,-4609.98681640625,-1.0,0.0,0.0,1.0,0.00021380672192457901,,3495630,37577755,1510692778384
790540,790540,3495642,7,1510692778664,1698,103093.078125,52899.390625,-4757.51318359375,1.0,0.0,0.0,0.0,,,3495642,37577755,1510692778664
831775,831775,3495651,7,1510692778693,1732,-95615.765625,-2045.4052734375,3411.40112304688,0.164723873138428,-0.986339688301086,0.0,0.0,0.0,,3495651,37577755,1510692778244
785487,785487,3495643,7,1510692778704,1717,-98150.9453125,-2173.18212890625,3397.34033203125,0.998538434505463,-0.0540465079247952,0.0,0.0,,,3495643,37577755,1510692778704
15479,15479,3495652,7,1510692778725,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
470829,470829,3495653,7,1510692778725,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.6660706996917719,-0.745888590812683,0.0,0.0,0.0,,3495653,37577755,1510692777845
131261,131261,3495641,7,1510692778725,1721,104301.984375,54656.69140625,-4763.5986328125,-0.9999952912330631,0.00306796561926603,0.0,0.0,0.0,,3495641,37577755,1510692777845
362768,362768,3495649,7,1510692778725,1736,103942.1796875,54506.69140625,-4763.59716796875,-0.9986668229103092,0.0439758338034153,0.0270331185311079,0.0,0.0,,3495649,37577755,1510692777845
502970,502970,3495630,7,1510692778824,1737,103942.1796875,54806.69140625,-4660.4951171875,-1.0,0.0,0.0,1.0,0.0,,3495630,37577755,1510692778384
106032,106032,3495647,7,1510692778883,1734,-98159.5234375,-2574.4111328125,3397.33935546875,0.998537242412567,-0.0540682896971703,0.0,0.0,,,3495647,37577755,1510692778883
790541,790541,3495642,7,1510692778883,1698,103093.078125,52899.390625,-4757.51318359375,1.0,0.0,0.0,0.0,0.0,,3495642,37577755,1510692778664
831776,831776,3495651,7,1510692778904,1732,-95615.765625,-2045.4052734375,3411.40112304688,0.16169673204422,-0.9868382215499879,0.00210922211408615,0.0,0.0,,3495651,37577755,1510692778244
785488,785488,3495643,7,1510692778924,1717,-98150.9453125,-2173.18212890625,3397.34033203125,0.998538434505463,-0.0540465079247952,0.0,0.0,0.0,,3495643,37577755,1510692778704
470830,470830,3495653,7,1510692778944,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.935571014881134,-0.352363109588623,-0.0233914982527494,0.0,0.0,,3495653,37577755,1510692777845
362769,362769,3495649,7,1510692778944,1736,103942.1796875,54506.69140625,-4763.59716796875,-0.786893665790558,-0.6167725920677191,-0.0197488330304623,0.0,0.0,,3495649,37577755,1510692777845
15480,15480,3495652,7,1510692778944,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
131262,131262,3495641,7,1510692778944,1721,104301.984375,54656.69140625,-4763.5986328125,-0.9283627271652221,0.36796036362647994,-0.0524189919233322,0.0,0.0,,3495641,37577755,1510692777845
502971,502971,3495630,7,1510692779049,1737,103942.1796875,54806.69140625,-4748.64404296875,-1.0,0.0,0.0,1.0,0.0,,3495630,37577755,1510692778384
790542,790542,3495642,7,1510692779104,1698,103093.078125,52899.390625,-4757.51318359375,0.999595761299133,-0.0121717173606157,-0.0256915427744389,0.0,0.0,,3495642,37577755,1510692778664
106033,106033,3495647,7,1510692779104,1734,-98159.5234375,-2574.4111328125,3397.33935546875,0.998538434505463,-0.0540465079247952,0.0,0.0,0.0,,3495647,37577755,1510692778883
831777,831777,3495651,7,1510692779125,1732,-95614.2578125,-2056.04858398438,3411.40112304688,0.100844979286194,-0.9945654273033141,-0.0258831679821014,0.0,0.0486406519539911,,3495651,37577755,1510692778244
785489,785489,3495643,7,1510692779145,1717,-98141.3125,-2175.15991210938,3397.34033203125,0.9701784253120419,-0.234730437397957,-0.0604599118232727,0.0,0.0444966210584011,,3495643,37577755,1510692778704
362770,362770,3495649,7,1510692779166,1736,103942.1796875,54506.69140625,-4763.59716796875,-0.47155064344406106,-0.879975318908691,-0.0573015883564949,0.0,0.0,,3495649,37577755,1510692777845
15481,15481,3495652,7,1510692779166,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
131263,131263,3495641,7,1510692779166,1721,104293.7734375,54660.140625,-4763.5986328125,-0.921369433403015,0.38444104790687605,-0.0573015883564949,0.0,0.0401170586015726,,3495641,37577755,1510692777845
470831,470831,3495653,7,1510692779166,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.9384449124336239,-0.34453555941581704,-0.0248292200267315,0.0,0.0,,3495653,37577755,1510692777845
502972,502972,3495630,7,1510692779266,1737,103942.1796875,54806.69140625,-4763.59912109375,-1.0,0.0,0.0,0.0,0.0,,3495630,37577755,1510692778384
790543,790543,3495642,7,1510692779325,1698,103093.078125,52899.390625,-4757.51318359375,0.999478578567505,-0.0121702896431088,-0.029908487573266,0.0,0.0,,3495642,37577755,1510692778664
106034,106034,3495647,7,1510692779325,1734,-98159.5234375,-2574.4111328125,3397.33935546875,0.999645471572876,-0.0117890257388353,-0.0238705836236477,0.0,0.0,,3495647,37577755,1510692778883
831778,831778,3495651,7,1510692779345,1732,-95610.7109375,-2089.87890625,3411.40112304688,0.0852749347686768,-0.9958336353301999,-0.032303910702467,0.0,0.15461703067523902,,3495651,37577755,1510692778244
785490,785490,3495643,7,1510692779365,1717,-98112.15625,-2182.06201171875,3397.34033203125,0.970486760139465,-0.23332814872264898,-0.0609382465481758,0.0,0.136191246569497,,3495643,37577755,1510692778704
131264,131264,3495641,7,1510692779386,1721,104291.0546875,54661.2421875,-4763.5986328125,-0.921369433403015,0.38444104790687605,-0.0573015883564949,0.0,0.0133337959230322,,3495641,37577755,1510692777845
470832,470832,3495653,7,1510692779386,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.947174489498138,-0.318959027528763,-0.0335496887564659,0.0,0.0,,3495653,37577755,1510692777845
362771,362771,3495649,7,1510692779386,1736,103942.1796875,54506.69140625,-4763.59716796875,0.307328432798386,-0.9492036700248722,-0.0675397366285324,0.0,0.0,,3495649,37577755,1510692777845
15482,15482,3495652,7,1510692779386,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
502973,502973,3495630,7,1510692779487,1737,103942.1796875,54806.69140625,-4763.59912109375,-0.9978429079055791,-0.0643772631883621,0.0128467353060842,0.0,0.0,,3495630,37577755,1510692778384
106035,106035,3495647,7,1510692779546,1734,-98157.609375,-2573.89672851562,3397.33935546875,0.931929469108582,0.351705819368362,-0.0883764699101448,0.0,0.00896823793573465,,3495647,37577755,1510692778883
790544,790544,3495642,7,1510692779546,1698,103093.078125,52899.390625,-4757.51318359375,0.9348022937774659,0.29604536294937106,-0.19621877372264898,0.0,0.0,,3495642,37577755,1510692778664
831779,831779,3495651,7,1510692779564,1732,-95605.4765625,-2150.88647460938,3411.40112304688,-0.0267254393547773,-0.998892486095428,-0.0387233197689056,0.0,0.27959684071089,,3495651,37577755,1510692778244
785491,785491,3495643,7,1510692779585,1717,-98053.5703125,-2196.11791992188,3397.34033203125,0.970486760139465,-0.23332814872264898,-0.0609382465481758,0.0,0.273856775778593,,3495643,37577755,1510692778704
470833,470833,3495653,7,1510692779604,1738,-100108.296875,-6089.44482421875,3378.58935546875,0.947174489498138,-0.318959027528763,-0.0335496887564659,0.0,0.0282476067889952,,3495653,37577755,1510692777845
15483,15483,3495652,7,1510692779604,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
362772,362772,3495649,7,1510692779604,1736,103942.1796875,54506.69140625,-4763.59716796875,0.9875653982162479,-0.110190019011497,-0.11212799698114399,0.0,0.0,,3495649,37577755,1510692777845
131265,131265,3495641,7,1510692779604,1721,104290.78125,54660.62890625,-4763.5986328125,-0.9212505221366879,0.38439145684242204,-0.0595027208328247,0.0,0.00308017176217508,,3495641,37577755,1510692777845
502974,502974,3495630,7,1510692779705,1737,103942.1796875,54806.69140625,-4763.59912109375,-0.9959487915039059,0.0655017271637917,-0.0616078972816467,0.0,0.0,,3495630,37577755,1510692778384
106036,106036,3495647,7,1510692779764,1734,-98141.90625,-2566.98803710938,3397.33935546875,0.8825106620788571,0.457984983921051,-0.10688684880733501,0.0,0.0786958861617833,,3495647,37577755,1510692778883
790545,790545,3495642,7,1510692779764,1698,103098.5390625,52903.34765625,-4757.48583984375,0.724728286266327,0.633442163467407,-0.271145462989807,0.0,0.0309352352203957,,3495642,37577755,1510692778664
831780,831780,3495651,7,1510692779785,1732,-95607.0859375,-2226.81567382812,3411.40112304688,-0.135772079229355,-0.989711165428162,-0.0451416112482548,0.0,0.343648204726647,,3495651,37577755,1510692778244
785492,785492,3495643,7,1510692779806,1717,-97977.7734375,-2214.34106445312,3397.34033203125,0.970464408397675,-0.23342116177082103,-0.0609382465481758,0.0,0.35274531217931104,,3495643,37577755,1510692778704
131266,131266,3495641,7,1510692779825,1721,104278.3125,54631.84375,-4763.5986328125,-0.887596309185028,0.450196921825409,-0.0974451079964638,0.0,0.141944118063702,,3495641,37577755,1510692777845
362773,362773,3495649,7,1510692779825,1736,103953.4921875,54505.41796875,-4763.59716796875,0.9875653982162479,-0.110190019011497,-0.11212799698114399,0.0,0.0515110823386768,,3495649,37577755,1510692777845
470834,470834,3495653,7,1510692779825,1738,-100078.671875,-6099.345703125,3378.58935546875,0.951729416847229,-0.302913188934326,-0.0495464503765106,0.0,0.141337941951269,,3495653,37577755,1510692777845
15484,15484,3495652,7,1510692779825,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
502975,502975,3495630,7,1510692779925,1737,103942.1796875,54806.69140625,-4763.59912109375,-0.8341035246849059,0.53369665145874,-0.139424473047256,0.0,0.0,,3495630,37577755,1510692778384
106037,106037,3495647,7,1510692779985,1734,-98090.2421875,-2546.27392578125,3397.33935546875,0.98854386806488,0.15061026811599698,-0.009875136427581309,0.0,0.251863908637966,,3495647,37577755,1510692778883
790546,790546,3495642,7,1510692779985,1698,103108.65625,52911.70703125,-4757.63525390625,0.7138488888740541,0.6473689675331121,-0.267082512378693,0.0,0.0593841425694253,,3495642,37577755,1510692778664
831781,831781,3495651,7,1510692780015,1732,-95616.2421875,-2312.25634765625,3412.03833007812,-0.135866940021515,-0.9896981120109559,-0.0451416112482548,0.0,0.373608208861966,,3495651,37577755,1510692778244
785493,785493,3495643,7,1510692780025,1717,-97904.953125,-2231.85424804688,3397.34033203125,0.970464408397675,-0.23342116177082103,-0.0609382465481758,0.0,0.341993876188739,,3495643,37577755,1510692778704
131267,131267,3495641,7,1510692780051,1721,104270.09375,54613.96875,-4763.5986328125,-0.8818564414978031,0.46087005734443703,-0.0996392667293549,0.0,0.0870527825409752,,3495641,37577755,1510692777845
15485,15485,3495652,7,1510692780051,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
362774,362774,3495649,7,1510692780051,1736,103992.203125,54504.96875,-4763.59716796875,0.876889407634735,0.431424170732498,-0.211986139416695,0.0,0.171298866717981,,3495649,37577755,1510692777845
470835,470835,3495653,7,1510692780051,1738,-100029.0390625,-6115.3828125,3378.58935546875,0.951511919498444,-0.30284395813941994,-0.0539508052170277,0.0,0.230793887825916,,3495653,37577755,1510692777845
502976,502976,3495630,7,1510692780145,1737,103942.1796875,54806.69140625,-4763.59912109375,-0.982555866241455,0.0491198822855949,-0.179362937808037,0.0,0.0,,3495630,37577755,1510692778384
106038,106038,3495647,7,1510692780207,1734,-98042.9921875,-2536.60961914062,3397.33935546875,0.988871693611145,0.148623690009117,-0.00661559076979756,0.0,0.21724423976703197,,3495647,37577755,1510692778883
790547,790547,3495642,7,1510692780207,1698,103110.078125,52912.85546875,-4757.65283203125,-0.109497621655464,0.9404330253601071,-0.32186323404312106,0.0,0.00823306762172571,,3495642,37577755,1510692778664
453422,453422,3495644,7,1510692780207,1741,-95615.765625,-2045.4052734375,3411.40112304688,0.164723515510559,-0.986337542533875,-0.00210952619090676,0.0,,,3495644,37577755,1510692780207
831782,831782,3495651,7,1510692780226,1732,-95626.796875,-2394.01586914062,3411.16650390625,-0.13596184551715898,-0.9896851181983951,-0.0451416112482548,0.0,0.390701333772026,,3495651,37577755,1510692778244
785494,785494,3495643,7,1510692780246,1717,-97810.3828125,-2254.59594726562,3397.34033203125,0.970464408397675,-0.23342116177082103,-0.0609382465481758,0.0,0.44011890622716293,,3495643,37577755,1510692778704
15486,15486,3495652,7,1510692780267,1725,104201.984375,54756.69140625,-4763.599609375,-1.0,0.0,0.0,0.0,0.0,,3495652,37577755,1510692777845
362775,362775,3495649,7,1510692780267,1736,104037.6640625,54526.9140625,-4763.59716796875,0.676008105278015,0.696938812732697,-0.239351868629456,0.0,0.233706600831552,,3495649,37577755,1510692777845
470836,470836,3495653,7,1510692780267,1738,-99953.90625,-6139.37548828125,3378.58935546875,0.95135486125946,-0.302793979644775,-0.0569183602929115,0.0,0.36514214978728005,,3495653,37577755,1510692777845
131268,131268,3495641,7,1510692780267,1721,104268.8203125,54611.23046875,-4763.5986328125,-0.8818564414978031,0.46087005734443703,-0.0996392667293549,0.0,0.0139810424803135,,3495641,37577755,1510692777845
661470,661470,3495629,7,1510692780307,1724,103229.8046875,57043.72265625,-4679.11767578125,-0.0871343612670898,-0.9961965084075931,0.0,1.0,,,3495629,37577755,1510692780307
502977,502977,3495630,7,1510692780367,1737,103942.1796875,54806.69140625,-4763.59912109375,-0.983334362506866,-0.0297059696167707,-0.179362937808037,0.0,0.0,,3495630,37577755,1510692778384
453423,453423,3495644,7,1510692780427,1741,-95615.765625,-2045.4052734375,3411.40112304688,0.16472233831882502,-0.9863305091857909,-0.00431440910324454,0.0,0.0,,3495644,37577755,1510692780207
790548,790548,3495642,7,1510692780427,1698,103110.078125,52912.85546875,-4757.65283203125,-0.227908611297607,0.934143960475922,-0.27465021610260004,0.0,0.0,,3495642,37577755,1510692778664
106039,106039,3495647,7,1510692780427,1734,-97994.3046875,-2528.72216796875,3397.33935546875,0.988103330135345,0.15374347567558302,-0.00383519195020199,0.0,0.224192054540257,,3495647,37577755,1510692778883
831783,831783,3495651,7,1510692780447,1732,-95639.4140625,-2487.59008789062,3410.17114257812,-0.13596184551715898,-0.9896851181983951,-0.0451416112482548,0.0,0.427244406048822,,3495651,37577755,1510692778244
785495,785495,3495643,7,1510692780467,1717,-97721.609375,-2275.94506835938,3397.34033203125,0.970464408397675,-0.23342116177082103,-0.0609382465481758,0.0,0.413142446139133,,3495643,37577755,1510692778704
131269,131269,3495641,7,1510692780487,1721,104268.8203125,54611.23046875,-4763.5986328125,-0.8818564414978031,0.46087005734443703,-0.0996392667293549,0.0,0.0,,3495641,37577755,1510692777845
